operation,node,run,latency_ms
read,replica,1,0.446
read,replica,2,0.287
read,replica,3,0.267
read,replica,4,0.301
read,replica,5,0.252
read,replica,6,0.272
read,replica,7,0.215
read,replica,8,0.225
read,replica,9,0.196
read,replica,10,0.233
read,replica,11,0.233
read,replica,12,0.238
read,replica,13,0.223
read,replica,14,0.217
read,replica,15,0.247
read,replica,16,0.206
read,replica,17,0.185
read,replica,18,0.241
read,replica,19,0.198
read,replica,20,0.205
read,replica,21,0.210
read,replica,22,0.259
read,replica,23,0.216
read,replica,24,0.192
read,replica,25,0.200
read,replica,26,0.237
read,replica,27,0.225
read,replica,28,0.254
read,replica,29,0.234
read,replica,30,0.202
read,replica,31,0.249
read,replica,32,0.242
read,replica,33,0.208
read,replica,34,0.215
read,replica,35,0.204
read,replica,36,0.210
read,replica,37,0.204
read,replica,38,0.193
read,replica,39,0.228
read,replica,40,0.198
read,replica,41,0.204
read,replica,42,0.184
read,replica,43,0.226
read,replica,44,0.250
read,replica,45,0.220
read,replica,46,0.226
read,replica,47,0.248
read,replica,48,0.257
read,replica,49,0.248
read,replica,50,0.212
write,primario,1,1.156
write,primario,2,0.878
write,primario,3,0.819
write,primario,4,1.093
write,primario,5,0.975
write,primario,6,0.868
write,primario,7,1.060
write,primario,8,0.823
write,primario,9,0.884
write,primario,10,0.814
write,primario,11,0.826
write,primario,12,0.783
write,primario,13,0.788
write,primario,14,0.828
write,primario,15,0.735
write,primario,16,0.843
write,primario,17,0.854
write,primario,18,0.915
write,primario,19,0.854
write,primario,20,0.828
write,primario,21,0.805
write,primario,22,0.807
write,primario,23,0.757
write,primario,24,0.803
write,primario,25,0.748
write,primario,26,0.887
write,primario,27,0.832
write,primario,28,0.872
write,primario,29,0.896
write,primario,30,0.968
write,primario,31,0.940
write,primario,32,0.900
write,primario,33,0.908
write,primario,34,0.783
write,primario,35,0.785
write,primario,36,0.874
write,primario,37,0.731
write,primario,38,0.770
write,primario,39,0.757
write,primario,40,0.787
write,primario,41,0.884
write,primario,42,0.929
write,primario,43,0.888
write,primario,44,0.915
write,primario,45,0.771
write,primario,46,0.778
write,primario,47,0.864
write,primario,48,0.836
write,primario,49,0.767
write,primario,50,0.793
