operation,locality,home_region,run,latency_ms
read,local,cr-sj,1,0.479
read,local,cr-sj,2,0.268
read,local,cr-sj,3,0.308
read,local,cr-sj,4,0.277
read,local,cr-sj,5,0.240
read,local,cr-sj,6,0.223
read,local,cr-sj,7,0.225
read,local,cr-sj,8,0.224
read,local,cr-sj,9,0.209
read,local,cr-sj,10,0.242
read,local,cr-sj,11,0.226
read,local,cr-sj,12,0.225
read,local,cr-sj,13,0.257
read,local,cr-sj,14,0.258
read,local,cr-sj,15,0.243
read,local,cr-sj,16,0.250
read,local,cr-sj,17,0.211
read,local,cr-sj,18,0.224
read,local,cr-sj,19,0.303
read,local,cr-sj,20,0.219
read,local,cr-sj,21,0.190
read,local,cr-sj,22,0.213
read,local,cr-sj,23,0.234
read,local,cr-sj,24,0.235
read,local,cr-sj,25,0.216
read,local,cr-sj,26,0.221
read,local,cr-sj,27,0.206
read,local,cr-sj,28,0.221
read,local,cr-sj,29,0.221
read,local,cr-sj,30,0.226
read,local,cr-sj,31,0.194
read,local,cr-sj,32,0.195
read,local,cr-sj,33,0.235
read,local,cr-sj,34,0.251
read,local,cr-sj,35,0.228
read,local,cr-sj,36,0.207
read,local,cr-sj,37,0.246
read,local,cr-sj,38,0.260
read,local,cr-sj,39,0.221
read,local,cr-sj,40,0.183
read,local,cr-sj,41,0.179
read,local,cr-sj,42,0.219
read,local,cr-sj,43,0.217
read,local,cr-sj,44,0.237
read,local,cr-sj,45,0.241
read,local,cr-sj,46,0.220
read,local,cr-sj,47,0.221
read,local,cr-sj,48,0.186
read,local,cr-sj,49,0.209
read,local,cr-sj,50,0.218
read,remote,cr-limon,1,0.224
read,remote,cr-limon,2,0.180
read,remote,cr-limon,3,0.196
read,remote,cr-limon,4,0.202
read,remote,cr-limon,5,0.246
read,remote,cr-limon,6,0.224
read,remote,cr-limon,7,0.216
read,remote,cr-limon,8,0.226
read,remote,cr-limon,9,0.209
read,remote,cr-limon,10,0.233
read,remote,cr-limon,11,0.235
read,remote,cr-limon,12,0.299
read,remote,cr-limon,13,0.231
read,remote,cr-limon,14,0.237
read,remote,cr-limon,15,0.218
read,remote,cr-limon,16,0.221
read,remote,cr-limon,17,0.289
read,remote,cr-limon,18,0.251
read,remote,cr-limon,19,0.189
read,remote,cr-limon,20,0.182
read,remote,cr-limon,21,0.186
read,remote,cr-limon,22,0.191
read,remote,cr-limon,23,0.216
