operation,locality,home_region,run,latency_ms
read,local,cr-sj,1,0.959
read,local,cr-sj,2,0.644
read,local,cr-sj,3,0.882
read,local,cr-sj,4,0.793
read,local,cr-sj,5,0.767
read,local,cr-sj,6,0.671
read,local,cr-sj,7,0.626
read,local,cr-sj,8,0.619
read,local,cr-sj,9,0.578
read,local,cr-sj,10,0.662
read,local,cr-sj,11,0.666
read,local,cr-sj,12,0.681
read,local,cr-sj,13,0.948
read,local,cr-sj,14,0.802
read,local,cr-sj,15,0.622
read,local,cr-sj,16,0.684
read,local,cr-sj,17,0.609
read,local,cr-sj,18,0.576
read,local,cr-sj,19,0.715
read,local,cr-sj,20,0.658
read,local,cr-sj,21,0.591
read,local,cr-sj,22,0.678
read,local,cr-sj,23,0.785
read,local,cr-sj,24,0.784
read,local,cr-sj,25,0.630
read,local,cr-sj,26,0.619
read,local,cr-sj,27,0.624
read,local,cr-sj,28,0.655
read,local,cr-sj,29,0.581
read,local,cr-sj,30,0.601
read,local,cr-sj,31,0.618
read,local,cr-sj,32,0.695
read,local,cr-sj,33,0.685
read,local,cr-sj,34,0.821
read,local,cr-sj,35,0.609
read,local,cr-sj,36,0.744
read,local,cr-sj,37,0.766
read,local,cr-sj,38,0.573
read,local,cr-sj,39,0.587
read,local,cr-sj,40,0.677
read,local,cr-sj,41,0.576
read,local,cr-sj,42,0.627
read,local,cr-sj,43,0.608
read,local,cr-sj,44,0.723
read,local,cr-sj,45,0.675
read,local,cr-sj,46,0.781
read,local,cr-sj,47,0.644
read,local,cr-sj,48,0.644
read,local,cr-sj,49,0.598
read,local,cr-sj,50,0.615
read,remote,cr-limon,1,1.229
read,remote,cr-limon,2,1.202
read,remote,cr-limon,3,1.288
read,remote,cr-limon,4,1.358
read,remote,cr-limon,5,1.319
read,remote,cr-limon,6,1.140
read,remote,cr-limon,7,1.065
read,remote,cr-limon,8,1.362
read,remote,cr-limon,9,1.459
read,remote,cr-limon,10,1.427
read,remote,cr-limon,11,1.289
read,remote,cr-limon,12,1.346
read,remote,cr-limon,13,1.518
read,remote,cr-limon,14,1.750
read,remote,cr-limon,15,1.616
read,remote,cr-limon,16,1.571
read,remote,cr-limon,17,1.479
read,remote,cr-limon,18,1.604
read,remote,cr-limon,19,1.501
read,remote,cr-limon,20,1.594
read,remote,cr-limon,21,1.475
read,remote,cr-limon,22,1.548
read,remote,cr-limon,23,1.402
read,remote,cr-limon,24,1.247
read,remote,cr-limon,25,1.183
read,remote,cr-limon,26,1.147
read,remote,cr-limon,27,1.380
read,remote,cr-limon,28,1.421
read,remote,cr-limon,29,1.370
read,remote,cr-limon,30,1.142
read,remote,cr-limon,31,1.203
read,remote,cr-limon,32,1.435
read,remote,cr-limon,33,1.391
read,remote,cr-limon,34,1.307
read,remote,cr-limon,35,1.234
read,remote,cr-limon,36,1.229
read,remote,cr-limon,37,1.297
read,remote,cr-limon,38,1.293
read,remote,cr-limon,39,1.489
read,remote,cr-limon,40,1.327
read,remote,cr-limon,41,1.227
read,remote,cr-limon,42,1.234
read,remote,cr-limon,43,1.394
read,remote,cr-limon,44,1.431
read,remote,cr-limon,45,1.269
read,remote,cr-limon,46,1.313
read,remote,cr-limon,47,1.387
read,remote,cr-limon,48,1.521
read,remote,cr-limon,49,1.677
read,remote,cr-limon,50,1.507
write,local,cr-sj,1,4.107
write,local,cr-sj,2,3.423
write,local,cr-sj,3,3.269
write,local,cr-sj,4,3.702
write,local,cr-sj,5,3.390
write,local,cr-sj,6,3.610
write,local,cr-sj,7,3.265
write,local,cr-sj,8,3.607
write,local,cr-sj,9,3.284
write,local,cr-sj,10,3.575
write,local,cr-sj,11,3.398
write,local,cr-sj,12,3.793
write,local,cr-sj,13,4.106
write,local,cr-sj,14,4.300
write,local,cr-sj,15,4.519
write,local,cr-sj,16,3.503
write,local,cr-sj,17,3.740
write,local,cr-sj,18,3.458
write,local,cr-sj,19,4.088
write,local,cr-sj,20,3.376
write,local,cr-sj,21,4.080
write,local,cr-sj,22,3.532
write,local,cr-sj,23,3.753
write,local,cr-sj,24,3.512
write,local,cr-sj,25,3.768
write,local,cr-sj,26,3.351
write,local,cr-sj,27,3.674
write,local,cr-sj,28,3.825
write,local,cr-sj,29,3.850
write,local,cr-sj,30,3.891
write,local,cr-sj,31,3.652
write,local,cr-sj,32,3.824
write,local,cr-sj,33,4.070
write,local,cr-sj,34,4.002
write,local,cr-sj,35,3.777
write,local,cr-sj,36,3.847
write,local,cr-sj,37,7.176
write,local,cr-sj,38,3.585
write,local,cr-sj,39,3.645
write,local,cr-sj,40,3.526
write,local,cr-sj,41,3.502
write,local,cr-sj,42,3.389
write,local,cr-sj,43,3.478
write,local,cr-sj,44,3.750
write,local,cr-sj,45,3.456
write,local,cr-sj,46,3.714
write,local,cr-sj,47,3.332
write,local,cr-sj,48,3.568
write,local,cr-sj,49,3.542
write,local,cr-sj,50,3.591
write,remote,cr-limon,1,5.607
write,remote,cr-limon,2,5.672
write,remote,cr-limon,3,6.222
write,remote,cr-limon,4,4.919
write,remote,cr-limon,5,4.776
write,remote,cr-limon,6,4.768
write,remote,cr-limon,7,4.707
write,remote,cr-limon,8,4.847
write,remote,cr-limon,9,4.722
write,remote,cr-limon,10,4.588
write,remote,cr-limon,11,4.743
write,remote,cr-limon,12,4.888
write,remote,cr-limon,13,5.673
write,remote,cr-limon,14,5.169
write,remote,cr-limon,15,5.011
write,remote,cr-limon,16,4.934
write,remote,cr-limon,17,5.304
write,remote,cr-limon,18,5.132
write,remote,cr-limon,19,5.116
write,remote,cr-limon,20,5.264
write,remote,cr-limon,21,5.147
write,remote,cr-limon,22,8.824
write,remote,cr-limon,23,5.448
write,remote,cr-limon,24,5.334
write,remote,cr-limon,25,6.378
write,remote,cr-limon,26,6.388
write,remote,cr-limon,27,7.093
write,remote,cr-limon,28,6.476
write,remote,cr-limon,29,6.140
write,remote,cr-limon,30,5.647
write,remote,cr-limon,31,5.195
write,remote,cr-limon,32,5.638
write,remote,cr-limon,33,5.524
write,remote,cr-limon,34,5.551
write,remote,cr-limon,35,5.681
write,remote,cr-limon,36,5.151
write,remote,cr-limon,37,6.003
write,remote,cr-limon,38,5.874
write,remote,cr-limon,39,5.562
write,remote,cr-limon,40,5.565
write,remote,cr-limon,41,5.435
write,remote,cr-limon,42,5.649
write,remote,cr-limon,43,6.258
write,remote,cr-limon,44,5.815
write,remote,cr-limon,45,5.434
write,remote,cr-limon,46,4.917
write,remote,cr-limon,47,5.155
write,remote,cr-limon,48,5.050
write,remote,cr-limon,49,4.729
write,remote,cr-limon,50,5.061
