=== E4 · sonda Escenario A ===
PGHOST=crdb-1,crdb-2,crdb-3
Fila objetivo: controldisponibilidad(id=1), RF=3 (ver evidence/cluster-inspect.txt)
Señal de falla: evidence/falla-nodo-stop.epoch
2026-09-14T22:13:21.946+00:00 before-stop ok      16.158 ms 
2026-09-14T22:13:22.447+00:00 before-stop ok      17.238 ms 
2026-09-14T22:13:22.947+00:00 before-stop ok      16.761 ms 
2026-09-14T22:13:23.440+00:00 before-stop ok      10.180 ms 
2026-09-14T22:13:23.941+00:00 before-stop ok      10.621 ms 
2026-09-14T22:13:24.445+00:00 before-stop ok      14.829 ms 
2026-09-14T22:13:24.944+00:00 before-stop ok      13.734 ms 
2026-09-14T22:13:25.448+00:00 before-stop ok      17.500 ms 
2026-09-14T22:13:25.948+00:00 before-stop ok      17.309 ms 
2026-09-14T22:13:26.445+00:00 before-stop ok      14.071 ms 
2026-09-14T22:13:26.941+00:00 before-stop ok      10.183 ms 
2026-09-14T22:13:27.448+00:00 before-stop ok      16.761 ms 
2026-09-14T22:13:27.945+00:00 before-stop ok      13.763 ms 
2026-09-14T22:13:28.441+00:00 before-stop ok       9.853 ms 
2026-09-14T22:13:28.945+00:00 before-stop ok      14.176 ms 
2026-09-14T22:13:29.448+00:00 before-stop ok      16.627 ms 
2026-09-14T22:13:29.945+00:00 before-stop ok      13.984 ms 
2026-09-14T22:13:30.445+00:00 before-stop ok      14.105 ms 
2026-09-14T22:13:30.946+00:00 before-stop ok      14.269 ms 
2026-09-14T22:13:31.442+00:00 before-stop ok      10.587 ms 
2026-09-14T22:13:33.936+00:00 after-stop  error 2004.023 ms QueryCanceled: query execution canceled due to statement timeout
2026-09-14T22:13:35.944+00:00 after-stop  error 2008.634 ms QueryCanceled: query execution canceled due to statement timeout
2026-09-14T22:13:36.255+00:00 after-stop  ok     310.055 ms 
2026-09-14T22:13:36.457+00:00 after-stop  ok      12.431 ms 
2026-09-14T22:13:36.959+00:00 after-stop  ok      14.671 ms 
2026-09-14T22:13:37.459+00:00 after-stop  ok      14.583 ms 
2026-09-14T22:13:37.960+00:00 after-stop  ok      15.531 ms 
2026-09-14T22:13:38.461+00:00 after-stop  ok      15.843 ms 
2026-09-14T22:13:38.961+00:00 after-stop  ok      15.807 ms 
2026-09-14T22:13:39.461+00:00 after-stop  ok      15.424 ms 
2026-09-14T22:13:39.960+00:00 after-stop  ok      14.748 ms 
2026-09-14T22:13:40.460+00:00 after-stop  ok      15.164 ms 
2026-09-14T22:13:40.960+00:00 after-stop  ok      14.308 ms 
2026-09-14T22:13:41.461+00:00 after-stop  ok      15.262 ms 
2026-09-14T22:13:41.960+00:00 after-stop  ok      14.321 ms 
2026-09-14T22:13:42.461+00:00 after-stop  ok      15.750 ms 
2026-09-14T22:13:42.959+00:00 after-stop  ok      13.163 ms 
2026-09-14T22:13:43.463+00:00 after-stop  ok      17.401 ms 
2026-09-14T22:13:43.963+00:00 after-stop  ok      16.775 ms 
2026-09-14T22:13:44.465+00:00 after-stop  ok      18.960 ms 
2026-09-14T22:13:44.959+00:00 after-stop  ok      13.060 ms 
2026-09-14T22:13:45.463+00:00 after-stop  ok      16.526 ms 
2026-09-14T22:13:45.964+00:00 after-stop  ok      17.830 ms 
2026-09-14T22:13:46.462+00:00 after-stop  ok      15.828 ms 
2026-09-14T22:13:46.974+00:00 after-stop  ok      27.855 ms 
2026-09-14T22:13:47.455+00:00 after-stop  ok       8.867 ms 
2026-09-14T22:13:49.692+00:00 after-stop  ok    1745.093 ms 
2026-09-14T22:13:49.704+00:00 after-stop  ok      12.474 ms 
2026-09-14T22:13:50.204+00:00 after-stop  ok      12.425 ms 
2026-09-14T22:13:50.704+00:00 after-stop  ok      12.065 ms 
2026-09-14T22:13:51.204+00:00 after-stop  ok      12.104 ms 
2026-09-14T22:13:51.704+00:00 after-stop  ok      12.354 ms 
2026-09-14T22:13:52.207+00:00 after-stop  ok      14.793 ms 
2026-09-14T22:13:52.704+00:00 after-stop  ok      12.016 ms 
2026-09-14T22:13:53.204+00:00 after-stop  ok      11.812 ms 
2026-09-14T22:13:53.706+00:00 after-stop  ok      14.025 ms 
2026-09-14T22:13:54.206+00:00 after-stop  ok      13.992 ms 
2026-09-14T22:13:54.710+00:00 after-stop  ok      17.388 ms 
2026-09-14T22:13:55.206+00:00 after-stop  ok      13.071 ms 
2026-09-14T22:13:55.710+00:00 after-stop  ok      16.777 ms 
